2017-11-29,6.5,5.5,6.5,3
2017-11-30,7,6,6,3
2017-12-01,7,6,6,3
2017-12-02,8,6,5.5,3
2017-12-03,7.5,6.5,6,3
2017-12-04,7,6,6,3
2017-12-05,7.5,5.25,5.5,3
2017-12-06,7,6,5,3
2017-12-07,8,3.25,5,3
2017-12-08,5.5,5.5,5.5,3
2017-12-09,7,5,5.5,3
2017-12-10,7,6,6,3
2017-12-11,7,5,6,3
2017-12-12,7,5.5,5.5,3
2017-12-13,7.5,5,5.5,3
2017-12-14,7.5,5,5,3
2017-12-15,7.5,6,5,3
2017-12-16,7.5,5.5,5,3
2017-12-17,6.5,5,5.5,3
2017-12-18,8,4,5.25,3
2017-12-19,7,5,5,3
2017-12-20,7,4.5,5,3
2017-12-21,7,5.5,5,3
2017-12-22,6.5,5,5,3
2017-12-23,8,0,8.5,2
2017-12-24,8.5,0,8,2
2017-12-25,9,0,7.5,2
2017-12-26,8,0,8,2
2017-12-27,8.5,0,8,2
2017-12-28,8,0,7.5,2
2017-12-29,8.5,0,7,2
2017-12-30,8,0,7.5,2
2017-12-31,8.5,0,7.75,2
2018-01-01,8,0,8,2
2018-01-02,8,0,8.5,2
2018-01-03,8.75,0,7.75,2
2018-01-04,8,0,8,2
2018-01-05,7.75,0,8,2
2018-01-06,7.25,0,8.75,2
2018-01-07,8.5,0,8,2
2018-01-08,8.5,0,9,2
2018-01-09,9,0,8.5,2
2018-01-10,8,0,8,2
2018-01-11,8,0,8,2
2018-01-12,8.25,0,8,2
2018-01-13,8.5,0,8,2
2018-01-14,7.75,0,8,2
2018-01-15,8,0,7.5,2
2018-01-16,8.25,0,7.5,2
2018-01-17,8,0,8,2
2018-01-18,8,0,8,2
2018-01-19,8.25,0,8.25,2
2018-01-20,8,0,8,2
2018-01-21,8.5,0,8.5,2
2018-01-22,8,0,8.25,2
2018-01-23,8.25,0,8.5,2
2018-01-24,8.5,0,8,2
2018-01-25,8.5,0,8,2
2018-01-26,8.5,0,7.5,2
2018-01-27,8,0,8,2
2018-01-28,8,0,8,2
2018-01-29,8.5,0,8.5,2
2018-01-30,8,0,8.25,2
2018-01-31,7.5,0,9,2
2018-02-01,9,0,9,2
2018-02-02,9,0,9,2
2018-02-03,9,0,9,2
2018-02-04,8.5,0,8.5,2
2018-02-05,8,0,7.5,2
2018-02-06,8,4.5,5,3
2018-02-07,6.5,5.5,5.5,3
2018-02-08,7,6,5.75,3
2018-02-09,7.5,6,5.25,3
2018-02-10,8,6,5.5,3
2018-02-11,7.5,6.5,5.5,3
2018-02-12,7,6.5,5,3
2018-02-13,7,5,5,3
2018-02-14,7,5.5,5.5,3
2018-02-15,7.5,6,5,3
2018-02-16,8,6,5.5,3
2018-02-17,7,6,5.5,3
2018-02-18,7.25,5.5,5,3
2018-02-19,7.5,6,5,3
2018-02-20,7,5,5.5,3
2018-02-21,8,4.5,5.5,3
2018-02-22,,,,0
2018-02-23,,,,0
2018-02-24,,,,0
2018-02-25,,,,0
2018-02-26,,,,0
2018-02-27,,,,0
2018-02-28,,,,0
2018-03-01,,,,0
Total,1663,1130.8,1493.7,
Average,6.96,5.83,6.22,
Max,10,10,9,
